Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2022-06-14,654.37,654.0,661.35,650.88,11.87M,-1.10%,11870000.0,-1.1,HDBK
2022-06-15,652.1,649.21,656.27,647.59,11.81M,-0.35%,11810000.0,-0.35,HDBK
2022-06-16,639.06,653.37,658.64,637.41,12.17M,-2.00%,12170000.0,-2.0,HDBK
2022-06-17,643.27,635.92,647.89,634.22,14.72M,0.66%,14720000.0,0.66,HDBK
2022-06-20,659.43,650.73,660.86,645.47,15.94M,2.51%,15940000.0,2.51,HDBK
2022-06-21,666.62,666.79,675.32,660.38,13.22M,1.09%,13220000.0,1.09,HDBK
2022-06-22,663.47,664.47,666.82,659.96,8.16M,-0.47%,8160000.0,-0.47,HDBK
2022-06-23,665.92,663.6,672.33,657.61,15.37M,0.37%,15370000.0,0.37,HDBK
2022-06-24,675.22,667.61,679.14,667.61,8.01M,1.40%,8010000.0,1.4,HDBK
2022-06-27,676.44,683.3,686.29,674.32,9.80M,0.18%,9800000.0,0.18,HDBK
2022-06-28,671.28,670.33,673.82,667.54,9.77M,-0.76%,9770000.0,-0.76,HDBK
2022-06-29,670.31,663.97,673.7,663.97,9.99M,-0.14%,9990000.0,-0.14,HDBK
2022-06-30,672.33,666.34,675.32,666.34,12.48M,0.30%,12480000.0,0.3,HDBK
2022-07-01,675.2,670.31,678.31,663.37,11.47M,0.43%,11470000.0,0.43,HDBK
2022-07-04,676.14,675.17,678.41,669.46,8.49M,0.14%,8490000.0,0.14,HDBK
2022-07-05,674.62,680.31,687.96,672.48,14.33M,-0.22%,14330000.0,-0.22,HDBK
2022-07-06,683.92,672.33,685.0,671.88,15.05M,1.38%,15050000.0,1.38,HDBK
2022-07-07,696.17,688.29,697.27,685.52,17.74M,1.79%,17740000.0,1.79,HDBK
2022-07-08,696.82,703.25,703.25,695.64,12.47M,0.09%,12470000.0,0.09,HDBK
2022-07-11,701.33,695.27,703.2,694.9,7.46M,0.65%,7460000.0,0.65,HDBK
2022-07-12,694.17,700.88,700.88,692.98,9.88M,-1.02%,9880000.0,-1.02,HDBK
2022-07-13,677.24,693.28,695.37,675.44,15.95M,-2.44%,15950000.0,-2.44,HDBK
2022-07-14,673.85,679.31,684.62,672.95,10.37M,-0.50%,10370000.0,-0.5,HDBK
2022-07-15,679.33,674.82,680.76,671.73,13.60M,0.81%,13600000.0,0.81,HDBK
2022-07-18,672.1,672.33,681.35,669.36,20.33M,-1.06%,20330000.0,-1.06,HDBK
2022-07-19,672.35,666.84,677.59,666.84,15.79M,0.04%,15790000.0,0.04,HDBK
