Date,Price,Open,High,Low,Vol.,Change %,Volume,Ticker,SMA10,EMA5,EMA10,Signal,Crossover,Return,Volatility
2021-10-14,841.61,816.97,842.9,816.97,14.76M,2.93%,14760000.0,HDBK,807.1020000000001,821.056468878691,811.7399539083559,1,0.0,0.029278315212738715,0.01169598019094753
2021-10-18,833.08,850.38,860.36,831.46,28.86M,-1.01%,28860000.0,HDBK,811.471,825.0643125858004,815.6199679091104,1,0.0,-0.010135335844393412,0.012029276103805945
2021-10-19,842.25,835.65,844.12,833.43,8.99M,1.10%,8990000.0,HDBK,816.605,830.7928750572063,820.4617976641249,1,0.0,0.011007346233254944,0.012075030635869323
2021-10-20,834.85,842.45,847.27,830.16,10.91M,-0.88%,10910000.0,HDBK,820.515,832.1452500381384,823.0778369892421,1,0.0,-0.008785989907984515,0.012994879852983907
2021-10-21,836.07,833.83,838.89,828.36,9.74M,0.15%,9740000.0,HDBK,823.577,833.4535000254263,825.4400503199042,1,0.0,0.0014613403605439057,0.012765500990569187
2021-10-22,838.29,837.96,851.88,833.3,12.18M,0.27%,12180000.0,HDBK,827.0809999999999,835.065666683618,827.7764063238135,1,0.0,0.002655280060281928,0.012570940547088289
2021-10-25,826.44,842.9,842.9,804.9,16.43M,-1.41%,16430000.0,HDBK,829.7909999999999,832.1904444557448,827.5334232267959,1,0.0,-0.01413591955051341,0.013623579899871079
2021-10-26,824.32,822.95,834.85,821.13,12.09M,-0.26%,12090000.0,HDBK,830.7360000000001,829.5669629704962,826.9491642043993,1,0.0,-0.002565219495668125,0.012479784819549533
2021-10-27,819.36,824.32,830.46,816.62,13.25M,-0.60%,13250000.0,HDBK,831.394,826.1646419803305,825.569315676646,1,0.0,-0.006017080745341685,0.012642896773812761
2021-10-28,794.82,822.95,822.95,791.61,17.80M,-2.99%,17800000.0,HDBK,829.109,815.7164279868865,819.9785293818311,0,-1.0,-0.029950205038078437,0.015752230394418712
