Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2026-04-02,1350.5,1357.0,1358.2,1328.0,21.28M,-1.37%,21280000.0,-1.37,RELIANCE,,,,1351.7222222222224,1348.8636363636363,1346.7086167800458,1,0.0
2026-04-06,1304.7,1359.0,1359.0,1290.0,29.27M,-3.39%,29270000.0,-3.39,RELIANCE,,,,1336.0481481481484,1340.8338842975206,1342.707796134327,0,-1.0
2026-04-07,1304.6,1295.0,1308.3,1291.0,28.39M,-0.01%,28390000.0,-0.01,RELIANCE,1334.58,,,1325.5654320987655,1334.245905334335,1339.078482216772,0,0.0
2026-04-08,1347.8,1349.0,1350.6,1326.2,21.82M,3.31%,21820000.0,3.31,RELIANCE,1335.3600000000001,,,1332.9769547325104,1336.7102861826377,1339.9091029580318,0,0.0
2026-04-09,1330.0,1346.0,1350.0,1326.3,20.73M,-1.32%,20730000.0,-1.32,RELIANCE,1327.52,,,1331.9846364883404,1335.4902341494308,1338.9653788667908,0,0.0
2026-04-10,1350.2,1337.0,1352.3,1331.5,19.36M,1.52%,19360000.0,1.52,RELIANCE,1327.4599999999998,,,1338.0564243255603,1338.1647370313524,1340.0353427842394,0,0.0
2026-04-13,1315.1,1321.2,1327.6,1310.0,28.75M,-2.60%,28750000.0,-2.6,RELIANCE,1329.54,,,1330.4042828837069,1333.9711484801971,1337.6605482333596,0,0.0
2026-04-15,1344.1,1337.0,1347.0,1334.2,15.31M,2.21%,15310000.0,2.21,RELIANCE,1337.44,1336.01,,1334.9695219224714,1335.812757847434,1338.273829353992,0,0.0
2026-04-16,1343.3,1352.0,1353.8,1330.0,30.21M,-0.06%,30210000.0,-0.06,RELIANCE,1336.54,1335.95,,1337.7463479483145,1337.1740746024461,1338.7525122726595,1,1.0
2026-04-17,1365.0,1340.0,1368.4,1340.0,13.87M,1.62%,13870000.0,1.62,RELIANCE,1343.54,1335.53,,1346.8308986322097,1342.2333337656378,1341.2522730085966,1,0.0
2026-04-20,1363.3,1363.2,1373.0,1352.8,13.61M,-0.12%,13610000.0,-0.12,RELIANCE,1346.16,1336.81,,1352.3205990881397,1346.0636367173397,1343.3520565315876,1,0.0
2026-04-21,1353.3,1359.0,1369.8,1350.1,27.29M,-0.73%,27290000.0,-0.73,RELIANCE,1353.8,1341.6699999999998,,1352.64706605876,1347.3793391323686,1344.2994797190554,1,0.0
2026-04-22,1362.1,1350.3,1366.0,1349.1,9.53M,0.65%,9530000.0,0.65,RELIANCE,1357.3999999999999,1347.42,,1355.7980440391734,1350.0558229264834,1345.9947673648596,1,0.0
2026-04-23,1343.4,1346.0,1355.5,1340.7,16.39M,-1.37%,16390000.0,-1.37,RELIANCE,1357.42,1346.98,,1351.6653626927823,1348.8456733034864,1345.7476466634444,1,0.0
2026-04-24,1327.8,1340.0,1345.9,1325.0,11.74M,-1.16%,11740000.0,-1.16,RELIANCE,1349.98,1346.7599999999998,,1343.7102417951883,1345.019187248307,1344.0383469812116,0,-1.0
2026-04-27,1365.8,1313.0,1371.6,1311.0,24.67M,2.86%,24670000.0,2.86,RELIANCE,1350.48,1348.3200000000002,,1351.0734945301256,1348.7975168395237,1346.1108853639535,1,1.0
2026-04-28,1388.9,1358.0,1395.2,1357.0,41.03M,1.69%,41030000.0,1.69,RELIANCE,1357.6,1355.7,,1363.6823296867506,1356.0888774141556,1350.1860391388152,1,0.0
2026-04-29,1430.0,1392.0,1432.1,1392.0,30.54M,2.96%,30540000.0,2.96,RELIANCE,1371.18,1364.29,1350.15,1385.7882197911672,1369.5272633388545,1357.7873687446422,1,0.0
2026-03-30,358.96,361.89,365.36,356.28,44.80M,0.61%,44800000.0,0.61,MSFT,,,,358.96,358.96,358.96,0,
2026-03-31,370.17,364.55,372.9,363.07,45.24M,3.12%,45240000.0,3.12,MSFT,,,,362.69666666666666,360.99818181818176,360.02761904761905,1,1.0
2026-04-01,369.37,373.49,373.99,368.2,29.42M,-0.22%,29420000.0,-0.22,MSFT,,,,364.92111111111114,362.52033057851236,360.9173696145125,1,0.0
2026-04-02,373.46,367.2,373.64,364.15,24.10M,1.11%,24100000.0,1.11,MSFT,,,,367.7674074074074,364.50936138241923,362.11190584170174,1,0.0
2026-04-06,372.88,373.49,373.73,369.5,16.15M,-0.16%,16149999.999999998,-0.16,MSFT,368.96799999999996,,,369.47160493827164,366.0312956765248,363.13743861868255,1,0.0
2026-04-07,372.29,370.34,372.45,366.56,21.44M,-0.16%,21440000.0,-0.16,MSFT,371.634,,,370.41106995884775,367.1692419171566,364.009111131189,1,0.0
2026-04-08,374.33,384.98,385.0,371.41,33.06M,0.55%,33060000.000000004,0.55,MSFT,372.466,,,371.7173799725652,368.471197932219,364.99205292821864,1,0.0
2026-04-09,373.07,372.5,373.5,367.05,30.44M,-0.34%,30440000.0,-0.34,MSFT,373.206,,,372.16825331504344,369.3073437627246,365.76138122076924,1,0.0
2026-04-10,370.87,372.98,375.64,370.03,28.11M,-0.59%,28110000.0,-0.59,MSFT,372.688,,,371.735502210029,369.5914630785928,366.2479163426008,1,0.0
2026-04-13,384.37,373.61,384.54,371.02,35.75M,3.64%,35750000.0,3.64,MSFT,374.986,371.977,,375.94700147335266,372.2784697915759,367.97382907187693,1,0.0
2026-04-14,393.11,387.92,394.69,386.52,37.50M,2.27%,37500000.0,2.27,MSFT,379.15,375.392,,381.6680009822351,376.0660207385621,370.3677501126506,1,0.0
2026-04-15,411.22,398.0,414.37,396.73,45.06M,4.61%,45060000.0,4.61,MSFT,386.52799999999996,379.49699999999996,,391.5186673214901,382.4576533315508,374.2584405781124,1,0.0
