Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover,Daily_Return,Volatility_5,Volatility_10,Volatility_20,Volatility_Annual
2021-07-16,759.29,762.08,763.08,757.52,5.17M,0.11%,5170000.0,0.11,HDBK,751.234,,,752.8951851851853,748.8334273615189,745.773601585759,1,0.0,0.0010943227065367545,,,,0.2512618940049476
2021-07-19,733.67,741.65,742.58,731.18,25.11M,-3.37%,25110000.0,-3.37,HDBK,749.6379999999999,,,746.4867901234569,746.0764405685154,744.6208776252106,1,0.0,-0.03374204849267082,0.01890220691479527,,,0.2512618940049476
2021-07-20,719.78,719.21,725.2,716.29,24.17M,-1.89%,24170000.0,-1.89,HDBK,743.7819999999999,,,737.5845267489713,741.295269556058,742.2550797561429,0,-1.0,-0.018932217481974156,0.018733843890214576,,,0.2512618940049476
2021-07-22,722.55,726.24,732.43,720.71,13.21M,0.38%,13210000.0,0.38,HDBK,738.75,,,732.5730178326476,737.8870387276837,740.3784054936531,0,0.0,0.0038483981216481666,0.01934660924188464,,,0.2512618940049476
2021-07-23,719.58,723.95,726.92,715.87,13.13M,-0.41%,13130000.0,-0.41,HDBK,730.9739999999999,,,728.2420118884318,734.5584862317412,738.397604970448,0,0.0,-0.004110442183931751,0.015750712765060893,,,0.2512618940049476
2021-07-26,715.49,713.23,720.21,712.28,13.17M,-0.57%,13170000.0,-0.57,HDBK,722.2139999999999,736.7239999999999,,723.9913412589545,731.0914887350609,736.2159283065957,0,0.0,-0.005683871147058039,0.014779224109576451,,,0.2512618940049476
2021-07-27,718.09,716.27,723.15,716.27,22.40M,0.36%,22400000.0,0.36,HDBK,719.098,734.368,,722.0242275059697,728.7275816923225,734.4896494202533,0,0.0,0.0036338732896337156,0.00929223434690494,0.014091040744321456,,0.2512618940049476
2021-07-28,706.89,715.74,717.56,700.26,20.67M,-1.56%,20670000.0,-1.56,HDBK,716.52,730.1510000000001,,716.9794850039799,724.7571122937184,731.8611113802292,0,0.0,-0.01559693074684243,0.008005237624192871,0.013762537947637266,,0.2512618940049476
2021-07-29,707.36,712.35,713.2,704.9,13.70M,0.07%,13700000.0,0.07,HDBK,713.4820000000001,726.116,,713.7729900026533,721.5940009675877,729.5276722011598,0,0.0,0.0006648842111220965,0.007367748689119468,0.013861759064072377,,0.2512618940049476
2021-07-30,711.45,707.74,714.1,702.23,11.66M,0.58%,11660000.0,0.58,HDBK,711.856,721.415,,712.9986600017689,719.749637155299,727.8059891343827,0,0.0,0.005782062881700911,0.00862499391353521,0.012715166596377147,,0.2512618940049476
2021-08-02,709.56,715.72,715.72,706.37,13.26M,-0.27%,13260000.0,-0.27,HDBK,710.6700000000001,716.442,,711.8524400011793,717.8969758543354,726.068275883489,0,0.0,-0.0026565464895637048,0.008426778465549381,0.012526591774909617,,0.2512618940049476
2021-08-03,715.57,703.25,718.16,703.25,12.03M,0.85%,12030000.0,0.85,HDBK,710.1659999999999,714.632,,713.0916266674529,717.4738893353654,725.0684400850615,0,0.0,0.008470037769885641,0.009403601885800144,0.009013337045922266,,0.2512618940049476
2021-08-04,730.83,718.71,735.42,718.21,22.05M,2.13%,22050000.0,2.13,HDBK,714.9540000000001,715.737,,719.004417778302,719.9022730925716,725.6171600769604,0,0.0,0.021325656469667553,0.0092446142667074,0.00979433559211874,,0.2512618940049476
2021-08-05,740.58,731.73,751.65,726.89,18.82M,1.33%,18820000.0,1.33,HDBK,721.5980000000001,717.54,,726.1962785188681,723.661859803013,727.0421924505832,1,1.0,0.013340995854028925,0.00890166381493469,0.010476210221464732,,0.2512618940049476
2021-08-06,744.47,739.93,748.14,735.17,13.34M,0.53%,13340000.0,0.53,HDBK,728.202,720.029,,732.2875190125787,727.445158020647,728.7019836457658,1,0.0,0.0052526398228416316,0.008956245061811311,0.010233677273345919,,0.2512618940049476
2021-08-09,750.08,744.15,751.8,736.17,11.00M,0.75%,11000000.0,0.75,HDBK,736.3059999999999,723.488,730.106,738.2183460083859,731.5605838350748,730.737985203312,1,0.0,0.007535562212043434,0.006390687465107344,0.00976533270123244,,0.2512618940049476
2021-08-10,751.95,742.65,757.99,742.65,14.84M,0.25%,14840000.0,0.25,HDBK,743.5820000000001,726.874,730.621,742.7955640055907,735.2677504105158,732.7581770887109,1,0.0,0.002493067406143412,0.007489945336384756,0.009786787676829719,0.012466287556301994,0.2512618940049476
2021-08-11,745.62,755.57,757.54,743.67,12.59M,-0.84%,12590000.0,-0.84,HDBK,746.54,730.7470000000001,730.4490000000001,743.7370426703939,737.1499776086036,733.9831126040718,1,0.0,-0.008418112906443342,0.008028006424169554,0.00828354968685673,0.012428728820491843,0.2512618940049476
2021-08-12,748.84,746.64,751.93,742.8,8.60M,0.43%,8600000.0,0.43,HDBK,748.192,734.8950000000001,730.5055,745.4380284469294,739.2754362252211,735.3980542608269,1,0.0,0.0043185536868646235,0.006226931632198934,0.00813170275130022,0.012461378670701694,0.2512618940049476
2021-08-13,761.21,748.74,763.6,748.64,16.66M,1.65%,16660000.0,1.65,HDBK,751.5400000000001,739.8710000000001,730.643,750.6953522979529,743.2635387297263,737.8563348074149,1,0.0,0.016518882538326007,0.009008412400339496,0.008817165149245961,0.012598518466906097,0.2512618940049476
2021-08-16,763.4,761.18,765.6,758.84,6.25M,0.29%,6250000.0,0.29,HDBK,754.204,745.255,730.8485,754.930234865302,746.9247135061396,740.2890648257563,1,0.0,0.0028769984629732903,0.008854208644467315,0.008315870011537076,0.012611054652164772,0.2512618940049476
2021-08-17,755.45,756.72,760.11,750.78,8.28M,-1.04%,8279999.999999999,-1.04,HDBK,754.904,749.243,731.9375,755.1034899102015,748.4747655959324,741.7329634137795,1,0.0,-0.010413937647366978,0.010889762321546467,0.010010189733126168,0.01012631562035539,0.2512618940049476
2021-08-18,754.62,776.42,780.73,752.3,22.99M,-0.11%,22990000.0,-0.11,HDBK,756.7040000000001,751.6220000000001,733.6795000000001,754.942326606801,749.5920809421265,742.9603002315148,1,0.0,-0.00109868290422932,0.009742700526803637,0.008458264495982392,0.00894790167533525,0.2512618940049476
2021-08-20,755.5,741.18,758.01,741.18,13.15M,0.12%,13150000.0,0.12,HDBK,758.0360000000001,753.114,735.327,755.1282177378673,750.666248043558,744.154557352323,1,0.0,0.00116614985025576,0.009692643370568568,0.007683624163258904,0.008945216411062874,0.2512618940049476
